bnum	position	modification
NCTC13359_00162	1518	m62A
NCTC13359_00162	1519	m62A
NCTC13359_01051	1518	m62A
NCTC13359_01051	1519	m62A
NCTC13359_05370	1518	m62A
NCTC13359_05370	1519	m62A
NCTC13359_05950	1518	m62A
NCTC13359_05950	1519	m62A
NCTC13359_00162	967	m5C
NCTC13359_01051	967	m5C
NCTC13359_05370	967	m5C
NCTC13359_05950	967	m5C
NCTC13359_00162	966	m2G
NCTC13359_01051	966	m2G
NCTC13359_05370	966	m2G
NCTC13359_05950	966	m2G
NCTC13359_00162	1498	m3U
NCTC13359_01051	1498	m3U
NCTC13359_05370	1498	m3U
NCTC13359_05950	1498	m3U
NCTC13359_00162	527	m7G
NCTC13359_01051	527	m7G
NCTC13359_05370	527	m7G
NCTC13359_05950	527	m7G
NCTC13359_00162	1402	m4Cm
NCTC13359_01051	1402	m4Cm
NCTC13359_05370	1402	m4Cm
NCTC13359_05950	1402	m4Cm
NCTC13359_00162	516	Y
NCTC13359_01051	516	Y
NCTC13359_05370	516	Y
NCTC13359_05950	516	Y
NCTC13359_00159	2503	m2A
NCTC13359_01054	2503	m2A
NCTC13359_05367	2503	m2A
NCTC13359_05947	2503	m2A
NCTC13359_00159	2251	Gm
NCTC13359_01054	2251	Gm
NCTC13359_05367	2251	Gm
NCTC13359_05947	2251	Gm
NCTC13359_00159	1939	m5U
NCTC13359_01054	1939	m5U
NCTC13359_05367	1939	m5U
NCTC13359_05947	1939	m5U
NCTC13359_00159	2498	Cm
NCTC13359_01054	2498	Cm
NCTC13359_05367	2498	Cm
NCTC13359_05947	2498	Cm
NCTC13359_00159	745	m1G
NCTC13359_01054	745	m1G
NCTC13359_05367	745	m1G
NCTC13359_05947	745	m1G
NCTC13359_00159	1835	m2G
NCTC13359_01054	1835	m2G
NCTC13359_05367	1835	m2G
NCTC13359_05947	1835	m2G
NCTC13359_00159	1962	m5C
NCTC13359_01054	1962	m5C
NCTC13359_05367	1962	m5C
NCTC13359_05947	1962	m5C
NCTC13359_00159	1618	m6A
NCTC13359_01054	1618	m6A
NCTC13359_05367	1618	m6A
NCTC13359_05947	1618	m6A
NCTC13359_00159	2069	m7G
NCTC13359_01054	2069	m7G
NCTC13359_05367	2069	m7G
NCTC13359_05947	2069	m7G
NCTC13359_00159	2552	Um
NCTC13359_01054	2552	Um
NCTC13359_05367	2552	Um
NCTC13359_05947	2552	Um
NCTC13359_00159	1911	Y
NCTC13359_00159	1915	Y
NCTC13359_00159	1917	Y
NCTC13359_01054	1911	Y
NCTC13359_01054	1915	Y
NCTC13359_01054	1917	Y
NCTC13359_05367	1911	Y
NCTC13359_05367	1915	Y
NCTC13359_05367	1917	Y
NCTC13359_05947	1911	Y
NCTC13359_05947	1915	Y
NCTC13359_05947	1917	Y
