,query,evalue
BSU00010,b3702,1.15e-134
BSU00020,b3701,4.1e-46
BSU00040,b3700,6.6999999999999995e-34
BSU00060,b3699,0.0
BSU00070,b2231,0.0
BSU00090,b2508,3.92e-171
BSU00130,b0893,2.02e-152
BSU00180,b2559,8.41e-44
BSU00190,b0470,1.3e-80
BSU00200,b0471,1.42e-19
BSU00210,b0472,1.31e-60
BSU00280,b1098,2.13e-34
BSU00350,b3155,1.75e-15
BSU00360,b3146,3.8e-62
BSU00380,b2114,1.3699999999999998e-89
BSU00390,b1100,5.14e-67
BSU00420,b0051,2.11e-41
BSU00460,b1208,1.1800000000000001e-26
BSU00480,b3113,3.95e-41
BSU00500,b3730,2.0799999999999998e-119
BSU00510,b1207,7.87e-111
BSU00530,b1204,7.74e-32
BSU00550,b1114,0.0
BSU00580,b2781,8.05e-70
BSU00670,b0188,2.95e-26
BSU00680,b0125,2.32e-60
BSU00690,b3178,0.0
BSU00710,b3401,1.17e-18
BSU00720,b0441,9.24e-15
BSU00730,b2414,1.8899999999999999e-93
BSU00740,b1812,1.3200000000000001e-79
BSU00750,b3360,6.46e-91
BSU00760,b1096,1.0600000000000001e-21
BSU00770,b3177,2.71e-66
BSU00780,b3058,7.12e-11
BSU00790,b0142,3.11e-34
BSU00810,b3260,7.34e-74
BSU00820,b4129,0.0
BSU00860,b2592,0.0
BSU00870,b4389,1.7799999999999998e-147
BSU00900,b2747,2.73e-38
BSU00910,b2746,1.55e-61
BSU00920,b2400,1.93e-117
BSU00930,b3607,1.51e-46
BSU00940,b0526,9.29e-138
BSU00960,b4180,6.430000000000001e-59
BSU01010,b3982,3.92e-53
BSU01020,b3983,1.6400000000000002e-66
BSU01030,b3984,9.7e-73
BSU01040,b3985,1.2000000000000002e-27
BSU01050,b3986,6.4e-28
BSU01060,b3084,3.07e-19
BSU01070,b3987,0.0
BSU01080,b3988,0.0
BSU01100,b3342,5.27e-61
BSU01110,b3341,2.53e-67
BSU01120,b3340,0.0
BSU01130,b3980,0.0
BSU01150,b3321,6.93e-46
BSU01160,b3320,8.119999999999999e-62
BSU01170,b3319,8.64e-51
BSU01190,b3317,1.13e-113
BSU01200,b3316,4.1999999999999997e-41
BSU01210,b3315,4.81e-37
BSU01220,b3314,2.48e-90
BSU01230,b3313,1.28e-53
BSU01250,b3311,4.66e-28
BSU01260,b3310,3.2999999999999996e-52
BSU01270,b3309,6.88e-25
BSU01280,b3308,1.7e-81
BSU01300,b3306,1.7099999999999998e-40
BSU01310,b3305,1.12e-53
BSU01320,b3304,2.2999999999999997e-24
BSU01330,b3303,6.33e-60
BSU01340,b3302,1.82e-12
BSU01350,b3301,1.87e-34
BSU01360,b3300,6.25e-90
BSU01370,b0474,3.3399999999999995e-67
BSU01380,b0168,5.2499999999999997e-76
BSU01390,b0884,2.36e-35
BSU01410,b3298,1.0000000000000001e-47
BSU01420,b3297,8.93e-59
BSU01430,b3295,7.3500000000000005e-87
BSU01440,b3294,1.66e-28
BSU01480,b2318,7.64e-49
BSU01490,b3231,1.58e-59
BSU01500,b3230,2.9500000000000003e-47
BSU01540,b2113,9.069999999999999e-54
BSU01660,b1107,8.59e-26
BSU01670,b2430,2.38e-168
BSU01680,b2429,1.92e-80
BSU01690,b1853,4.2300000000000004e-33
BSU01700,b2428,1.75e-101
BSU01730,b2573,1.65e-29
BSU01770,b3176,1.5e-120
BSU01780,b3729,2.1400000000000002e-144
BSU01800,b2068,1.05e-19
BSU01810,b2213,5.2699999999999996e-30
BSU02060,b3795,0.0
BSU02130,b2239,1.13e-28
BSU02140,b2240,0.0
BSU02210,b3184,2.92e-12
BSU02220,b3905,5.74e-16
BSU02230,b1849,7.86e-152
BSU02280,b2317,9.63e-16
BSU02290,b4160,8.5e-23
BSU02320,b4396,4.3e-22
BSU02330,b1055,4.9099999999999996e-48
BSU02350,b0679,2.05e-148
BSU02390,b3770,2.34e-36
BSU02400,b0260,0.0
BSU02410,b0261,3.79e-111
BSU02480,b2789,0.0
BSU02490,b2787,0.0
BSU02500,b3226,2.38e-18
BSU02510,b3128,0.0
BSU02690,b2957,5.62e-103
BSU02770,b1771,1.02e-59
BSU02830,b2902,1.7799999999999998e-48
BSU02850,b1857,4.48e-18
BSU02860,b1858,7.23e-34
BSU02870,b1859,4.4799999999999995e-28
BSU02950,b4279,4.07e-33
BSU02980,b2677,3.9199999999999997e-134
BSU02990,b2678,1.06e-76
BSU03020,b2298,6.12e-55
BSU03130,b1740,8.15e-102
BSU03150,b3390,4.51e-24
BSU03160,b0210,4.82e-37
BSU03220,b1015,2.0599999999999998e-168
BSU03300,b3365,4.83e-150
BSU03360,b4352,3.96e-24
BSU03370,b1918,2.6700000000000003e-72
BSU03460,b4196,1.97e-25
BSU03470,b4212,1.15e-20
BSU03610,b1920,3.82e-49
BSU03630,b2311,1.74e-65
BSU03640,b3843,4.8600000000000005e-58
BSU03670,b1634,6.32e-65
BSU03750,b3405,1.07e-54
BSU03790,b0002,2.9299999999999997e-41
BSU03900,b2662,2.35e-129
BSU03910,b2661,1.9399999999999998e-176
BSU03950,b1841,9.85e-12
BSU03981,b3599,0.0
BSU03990,b3600,5.88e-109
BSU04000,b1800,6.21e-132
BSU04050,b0713,2.07e-89
BSU04080,b0711,1.39e-50
BSU04090,b0712,4.25e-62
BSU04100,b0272,2.21e-40
BSU04140,b0635,8.199999999999999e-48
BSU04150,b1647,4.5199999999999995e-104
BSU04210,b1427,2.93e-18
BSU04260,b1763,1.2e-107
BSU04300,b1022,1.2e-32
BSU04340,b0871,7.47e-120
BSU04360,b2392,3.5e-134
BSU04440,b3579,3.75e-42
BSU04470,b3528,7.360000000000001e-161
BSU04560,b0381,8.14e-99
BSU04570,b0086,1.29e-65
BSU04580,b3162,3.44e-125
BSU04620,b2563,2.14e-21
BSU04640,b1190,2.0599999999999997e-48
BSU04780,b3407,0.0
BSU04800,b0537,5.14e-12
BSU05120,b3556,2.14e-27
BSU05150,b1696,6.87e-15
BSU05160,b3660,1.9e-45
BSU05340,b3502,2.77e-169
BSU05360,b1959,8.8e-11
BSU05370,b4340,1.8700000000000002e-47
BSU05400,b1753,1.22e-13
BSU05470,b3915,3.55e-16
BSU05480,b1008,6.36e-11
BSU05530,b0906,2.39e-15
BSU05620,b4208,0.0
BSU05680,b2182,6.38e-57
BSU05700,b1540,8.26e-17
BSU05830,b1737,9.42e-69
BSU05850,b3684,1.53e-31
BSU05900,b0417,1.97e-53
BSU05910,b4168,6.3599999999999996e-24
BSU05920,b1807,2.44e-20
BSU05930,b4373,5.02e-23
BSU05940,b3064,5.9699999999999993e-95
BSU05960,b0783,2.06e-50
BSU05990,b3839,4.9799999999999996e-42
BSU06020,b4142,3.58e-21
BSU06030,b4143,0.0
BSU06100,b4346,2.32e-16
BSU06150,b1774,2.7e-85
BSU06180,b1304,1e-13
BSU06300,b0123,8.1e-34
BSU06310,b2663,1.78e-145
BSU06360,b2507,0.0
BSU06420,b0523,1.05e-53
BSU06430,b0522,2.4199999999999998e-42
BSU06440,b1131,2.88e-24
