bnum	position	modification
PproGo58_r00010	1518	m62A
PproGo58_r00010	1519	m62A
PproGo58_r00050	1518	m62A
PproGo58_r00050	1519	m62A
PproGo58_r00100	1518	m62A
PproGo58_r00100	1519	m62A
PproGo58_r00130	1518	m62A
PproGo58_r00130	1519	m62A
PproGo58_r00160	1518	m62A
PproGo58_r00160	1519	m62A
PproGo58_r00010	967	m5C
PproGo58_r00050	967	m5C
PproGo58_r00100	967	m5C
PproGo58_r00130	967	m5C
PproGo58_r00160	967	m5C
PproGo58_r00010	966	m2G
PproGo58_r00050	966	m2G
PproGo58_r00100	966	m2G
PproGo58_r00130	966	m2G
PproGo58_r00160	966	m2G
PproGo58_r00010	1498	m3U
PproGo58_r00050	1498	m3U
PproGo58_r00100	1498	m3U
PproGo58_r00130	1498	m3U
PproGo58_r00160	1498	m3U
PproGo58_r00010	527	m7G
PproGo58_r00050	527	m7G
PproGo58_r00100	527	m7G
PproGo58_r00130	527	m7G
PproGo58_r00160	527	m7G
PproGo58_r00010	1402	m4Cm
PproGo58_r00050	1402	m4Cm
PproGo58_r00100	1402	m4Cm
PproGo58_r00130	1402	m4Cm
PproGo58_r00160	1402	m4Cm
PproGo58_r00010	516	Y
PproGo58_r00050	516	Y
PproGo58_r00100	516	Y
PproGo58_r00130	516	Y
PproGo58_r00160	516	Y
PproGo58_r00020	2503	m2A
PproGo58_r00060	2503	m2A
PproGo58_r00090	2503	m2A
PproGo58_r00120	2503	m2A
PproGo58_r00150	2503	m2A
PproGo58_r00020	2251	Gm
PproGo58_r00060	2251	Gm
PproGo58_r00090	2251	Gm
PproGo58_r00120	2251	Gm
PproGo58_r00150	2251	Gm
PproGo58_r00020	1939	m5U
PproGo58_r00060	1939	m5U
PproGo58_r00090	1939	m5U
PproGo58_r00120	1939	m5U
PproGo58_r00150	1939	m5U
PproGo58_r00020	2498	Cm
PproGo58_r00060	2498	Cm
PproGo58_r00090	2498	Cm
PproGo58_r00120	2498	Cm
PproGo58_r00150	2498	Cm
PproGo58_r00020	745	m1G
PproGo58_r00060	745	m1G
PproGo58_r00090	745	m1G
PproGo58_r00120	745	m1G
PproGo58_r00150	745	m1G
PproGo58_r00020	1835	m2G
PproGo58_r00060	1835	m2G
PproGo58_r00090	1835	m2G
PproGo58_r00120	1835	m2G
PproGo58_r00150	1835	m2G
PproGo58_r00020	1962	m5C
PproGo58_r00060	1962	m5C
PproGo58_r00090	1962	m5C
PproGo58_r00120	1962	m5C
PproGo58_r00150	1962	m5C
PproGo58_r00020	1618	m6A
PproGo58_r00060	1618	m6A
PproGo58_r00090	1618	m6A
PproGo58_r00120	1618	m6A
PproGo58_r00150	1618	m6A
PproGo58_r00020	2069	m7G
PproGo58_r00060	2069	m7G
PproGo58_r00090	2069	m7G
PproGo58_r00120	2069	m7G
PproGo58_r00150	2069	m7G
PproGo58_r00020	2552	Um
PproGo58_r00060	2552	Um
PproGo58_r00090	2552	Um
PproGo58_r00120	2552	Um
PproGo58_r00150	2552	Um
PproGo58_r00020	1911	Y
PproGo58_r00020	1915	Y
PproGo58_r00020	1917	Y
PproGo58_r00060	1911	Y
PproGo58_r00060	1915	Y
PproGo58_r00060	1917	Y
PproGo58_r00090	1911	Y
PproGo58_r00090	1915	Y
PproGo58_r00090	1917	Y
PproGo58_r00120	1911	Y
PproGo58_r00120	1915	Y
PproGo58_r00120	1917	Y
PproGo58_r00150	1911	Y
PproGo58_r00150	1915	Y
PproGo58_r00150	1917	Y
