complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,NCTC13359_00375(2) AND NCTC13359_00376(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,NCTC13359_02846(2) AND NCTC13359_02845(2),,
CPLX_3HPAOX-0,HPA monooxygenase,NCTC13359_01315() AND NCTC13359_01316(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,NCTC13359_06135(2) AND NCTC13359_02373(2) AND NCTC13359_01843(2) AND NCTC13359_06136(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,NCTC13359_05955(2) AND NCTC13359_05956(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,NCTC13359_02575() AND NCTC13359_04377(),,
CPLX_ACONCtupp-0,Cisaconitate transport periplasm,NCTC13359_05273() AND NCTC13359_05276() AND NCTC13359_05274(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),NCTC13359_02575() AND NCTC13359_02572(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,NCTC13359_05540(4) AND NCTC13359_05541(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,NCTC13359_00219() AND NCTC13359_00220(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),NCTC13359_01107() AND NCTC13359_01580(),,
CPLX_ALAabcpp-1,L-alanine transport via ABC system (periplasm),NCTC13359_01107() AND NCTC13359_06147(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),NCTC13359_05603() AND NCTC13359_05604() AND NCTC13359_05605() AND NCTC13359_05606() AND NCTC13359_05607(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),NCTC13359_05607(1) AND NCTC13359_05606(1) AND NCTC13359_05605(1) AND NCTC13359_05604(1) AND NCTC13359_05597(1),,
CPLX_ANS-0,Anthranilate synthase,NCTC13359_05018() AND NCTC13359_05017(),,
CPLX_ANS-1,Anthranilate synthase,NCTC13359_01004() AND NCTC13359_01031(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,NCTC13359_04225() AND NCTC13359_00025(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),NCTC13359_05123() AND NCTC13359_05125() AND NCTC13359_05126() AND NCTC13359_05127(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),NCTC13359_04639() AND NCTC13359_04640() AND NCTC13359_04641() AND NCTC13359_04642(),,
