Transcription-Units	Direction	Genes of transcription unit
TU8J2-16646	-	BSU22220 // BSU22210
TU8J2-552	+	BSU29600
TU8J2-224	-	BSU40440
TU8J2-16898	-	BSU32230
TU8J2-3005	+	BSU16490
TU8J2-1030	+	BSU07370
TU8J2-16410	+	BSU16880
TU8J2-900	-	BSU11760 // BSU11770 // BSU11780
TU8J2-16585	+	BSU20929
TU8J2-16128	+	BSU06048
TU8J2-289	+	BSU38850
TU8J2-16750	+	BSU26440
TU8J2-923	-	BSU10410
TU8J2-16896	-	BSU32180
TU8J2-850	+	BSU14480
TU8J2-16904	-	BSU32660
TU8J2-3023	+	BSU00540
TU8J2-15942	+	BSU21090
TU8J2-16731	-	BSU_MISC_RNA_92
TU8J2-16172	-	BSU07530
TU8J2-16050	-	BSU03570
TU8J2-363	-	BSU37090
TU8J2-17150	+	BSU12460
TU8J2-16703	-	BSU24880
TU8J2-15916	-	BSU36680
TU8J2-3030	+	BSU24020 // BSU24010
TU8J2-15927	-	BSU19220
TU8J2-588	+	BSU28690
TU8J2-2984	-	BSU05470
TU8J2-16590	-	BSU20970
TU8J2-17297	-	BSU33400
TU8J2-9	+	BSU33020 // BSU33010
TU8J2-255	+	BSU39800 // BSU39790
TU8J2-16033	-	BSU02340
TU8J2-17033	-	BSU39129
TU8J2-995	+	BSU08200 // BSU08190 // BSU08180
TU8J2-16070	+	BSU04640
TU8J2-16884	-	BSU31830
TU8J2-16103	-	BSU05409 // BSU05408
TU8J2-17285	+	BSU32220
TU8J2-963	+	BSU08960
TU8J2-17120	-	BSU09889
TU8J2-758	-	BSU19850
TU8J2-598	-	BSU28470
TU8J2-16822	-	BSU28400 // BSU28390
TU8J2-16413	+	BSU16970
TU8J2-1165	+	BSU02100
TU8J2-934	-	BSU10010
TU8J2-818	+	BSU16770 // BSU16760 // BSU16750 // BSU16740 // BSU16730
TU8J2-17072	+	BSU03680
TU8J2-16201	-	BSU09560
TU8J2-16297	-	BSU12830 // BSU12820
TU8J2-16589	-	BSU20960
TU8J2-571	-	BSU29150
TU8J2-17090	-	BSU05380
TU8J2-16475	+	BSU_18596
TU8J2-16083	-	BSU05130
TU8J2-16157	+	BSU06850
TU8J2-17168	-	BSU14630
TU8J2-16155	+	BSU06820
TU8J2-17021	-	BSU38440
TU8J2-16094	-	BSU05260
TU8J2-16065	+	BSU04500 // BSU04490
TU8J2-613	-	BSU28120 // BSU28130 // BSU28140 // BSU28150 // BSU28160 // BSU28170
TU8J2-348	+	BSU37480
TU8J2-1126	+	BSU03180
TU8J2-17198	+	BSU19530
TU8J2-16315	-	BSU13420
TU8J2-117	+	BSU14860 // BSU14850
TU8J2-925	-	BSU10390
TU8J2-16487	-	BSU18849
TU8J2-17228	-	BSU24790
TU8J2-16817	-	BSU28060
TU8J2-230	-	BSU40290
TU8J2-161	-	BSU21440 // BSU21450 // BSU21460 // BSU21470 // BSU21480
TU8J2-16510	-	BSU19300
TU8J2-16150	+	BSU06770 // BSU06760
TU8J2-17169	-	BSU14650
TU8J2-106	-	BSU32760 // BSU32770
TU8J2-16581	-	G8J2-179
TU8J2-3	-	BSU00370
TU8J2-767	-	BSU19210
TU8J2-188	+	BSU30620 // BSU30610 // BSU30595
TU8J2-881	+	BSU13140
TU8J2-16092	+	BSU05240
TU8J2-15937	-	BSU19420
TU8J2-16727	-	BSU25900
TU8J2-16347	+	BSU14310 // BSU14300 // BSU14290
TU8J2-15986	+	BSU01140
TU8J2-16032	+	BSU02330
TU8J2-17245	+	BSU26630
TU8J2-3008	+	BSU16520 // BSU16510
TU8J2-849	+	BSU14490
TU8J2-17104	-	BSU07240
TU8J2-3039	+	G8J2-182 // G8J2-181
TU8J2-105	+	BSU03210 // BSU03200
TU8J2-16370	+	BSU14990
TU8J2-1295	-	BSU37160
TU8J2-16283	-	BSU12070
