TU_id	start	stop	tss	strand	rho_dependent	rnapol	replicon	genes
TU0_7622_from_RpoD_mono	542485	545635	545635	-	True	RpoD_mono	NC_000913.2	b0516,b0517
TU00158_from_RpoD_mono	1165215	1166612	1165215	+	True	RpoD_mono	NC_000913.2	b1109
TU0_1002_from_RpoD_mono	1823979	1830037	1830037	-	True	RpoD_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU0_4702_with_TERM0223_from_RpoD_mono	360364	365589	365589	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_4702_with_TERM0222_from_RpoD_mono	360436	365589	365589	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_6513_from_RpoD_mono	2080752	2082207	2080752	+	True	RpoD_mono	NC_000913.2	b2011
TU0_3421_from_RPOE_MONOMER	2493600	2494587	2493600	+	True	RpoE_mono	NC_000913.2	b2378
TU0_13236_from_RpoD_mono	1426838	1431010	None	+	True	RpoD_mono	NC_000913.2	b1373,b1372
TU0_12820_from_RpoD_mono	164721	167264	164721	+	True	RpoD_mono	NC_000913.2	b0149
TU0_14822_from_RpoD_mono	1753641	1755134	1753641	+	True	RpoD_mono	NC_000913.2	b1676
TU0_14253_with_TERM0_1039_from_RpoD_mono	25014	27279	25014	+	False	RpoD_mono	NC_000913.2	b0029,b0028,b0027
TU0_14682_with_TERM0_1074_from_RPOS_MONOMER	4374532	4374754	4374532	+	False	RpoS_mono	NC_000913.2	b4411
TU423_with_TERM141_from_RpoD_mono	882872	884161	882872	+	False	RpoD_mono	NC_000913.2	b0842
TU0_14574_with_TERM0_1066_from_RpoD_mono	3320057	3320612	3320612	-	False	RpoD_mono	NC_000913.2	b3174,b3175
TU0_14387_from_RpoD_mono	3396409	3399378	3399378	-	True	RpoD_mono	NC_000913.2	b3251,b3250
TU00175_from_RPOS_MONOMER	962972	963335	962972	+	True	RpoS_mono	NC_000913.2	b0912
TU00497_from_RpoD_mono	2042565	2042648	2042565	+	True	RpoD_mono	NC_000913.2	b1977
TU0_13075_from_RpoD_mono	906075	910272	None	-	True	RpoD_mono	NC_000913.2	b0871,b0870
TU0_13767_from_RpoD_mono	2993336	2995667	None	-	True	RpoD_mono	NC_000913.2	b2861,b2859,b2860
TU00088_from_RpoD_mono	1987669	1988916	1987669	+	True	RpoD_mono	NC_000913.2	b1907
TU0_7662_from_RpoD_mono	3579134	3579649	3579134	+	True	RpoD_mono	NC_000913.2	b3441
TU0_4703_with_TERM0223_from_RpoD_mono	360364	365601	365601	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_4703_with_TERM0222_from_RpoD_mono	360436	365601	365601	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_3422_from_RPOE_MONOMER	492933	494234	492933	+	True	RpoE_mono	NC_000913.2	b0472,b0471
TU354_with_ARCAT1_from_RpoD_mono	4637562	4638704	4638704	-	False	RpoD_mono	NC_000913.2	b4401,b4402
TU00292_from_RpoD_mono	720279	723637	None	-	True	RpoD_mono	NC_000913.2	b0695
TU0_6514_from_RpoD_mono	4622879	4625317	4622879	+	True	RpoD_mono	NC_000913.2	b4389,b4388
TU0_13538_from_RpoD_mono	2232011	2234522	2232011	+	True	RpoD_mono	NC_000913.2	b2147,b2146
TU00159_with_TERM64_from_RpoD_mono	4343654	4345371	4345371	-	False	RpoD_mono	NC_000913.2	b4122
TU0_13782_from_RpoD_mono	3018562	3022208	None	+	True	RpoD_mono	NC_000913.2	b2881
