ReferenceGene,Subsystem,General_subsystem,CP043320,CP063780,CP039749,AP022324,CP000712,CP026386,CP012831,CP015225,CP043179,CP041013,CP061848,CP053697,CP076683,CP020100,CP060288,AP014655.1,CP007511.1,CP065866,CP022562,LS483372,CP069317,CP014784,CP065867,CP024478,CP013144,CP073105,CP038001,CP022561,CP045416,CP045349,AE004091.2,CP068238,CP012830,LR590473,CP065865,CP008896,CP061335,CP032419,CP045359,AP024503,CP008749.1,CP070982,CP050291,CP022560,CP058975
PA14_10630,4 hydroxyphenylacetate catabolism,Amino acids,FXF61_05105,IH404_18390,FA030_01095,PPTS312_35820,Pput_2904,C3F42_02070,AO356_25585,TK06_06655,FQ342_25675,FIU24_28500,IE322_06810,HNE05_01325,KQ248_18180,BVH74_17045,H7683_18400,MT1_2929,CL52_14700,I9X27_04145,CHR29_27025,NCTC10038_05646,JQN61_20725,A0T30_02725,I9X29_04230,CS390_11415,AOU28_15765,KCX70_04315,DCC84_12435,CHN49_27110,FIU84_08340,FIV02_13460,PA4123,JHW37_04010,AO353_29295,NCTC13359_01280,I9X26_04500,HZ99_06970,ICJ54_17365,D3880_08980,FIU98_13440,PproGo58_32590,OU9_04178,JYG34_14850,HAV28_24745,CHR26_08405,HXW90_10600
PA14_10650,4 hydroxyphenylacetate catabolism,Amino acids,FXF61_13810,IH404_18380,FA030_01105,PPTS312_35800,Pput_4011,C3F42_02060,AO356_25595,TK06_06645,FQ342_25685,FIU24_28490,IE322_22805,HNE05_19140,KQ248_02160,BVH74_16330,H7683_11120,MT1_4431,CL52_01845,I9X27_04155,CHR29_06620,NCTC10038_02625,JQN61_15035,A0T30_03175,I9X29_04240,CS390_11425,AOU28_15755,KCX70_06975,DCC84_12445,CHN49_21155,FIU84_01970,FIV02_22530,PA4121,JHW37_04020,AO353_24305,NCTC13359_01282,I9X26_04510,HZ99_06960,ICJ54_00545,D3880_01075,FIU98_22510,PproGo58_32570,OU9_04176,JYG34_14840,HAV28_01125,CHR26_24605,HXW90_29770
PA14_69990,Alanine and Aspartate Metabolism,Amino acids,FXF61_01305,IH404_00030,FA030_27955,PPTS312_03750,Pput_5179,C3F42_16510,AO356_12630,TK06_22035,FQ342_11970,FIU24_01630,IE322_22170,HNE05_18865,KQ248_08980,BVH74_04130,H7683_11405,MT1_1121,CL52_03475,I9X27_28510,CHR29_26980,NCTC10038_05943,JQN61_20680,A0T30_00930,I9X29_29490,CS390_23900,AOU28_23155,KCX70_18350,DCC84_32950,CHN49_27065,FIU84_10785,FIV02_01225,PA5302,JHW37_28365,AO353_09145,NCTC13359_00091,I9X26_32505,HZ99_16865,ICJ54_01185,D3880_21690,FIU98_01225,PproGo58_57250,OU9_05415,JYG34_25620,HAV28_24700,CHR26_08450,HXW90_30470
PA14_65110,Alanine and Aspartate Metabolism,Amino acids,FXF61_01305,IH404_00030,FA030_25940,PPTS312_03750,Pput_5179,C3F42_16510,AO356_12630,TK06_22035,FQ342_11970,FIU24_03645,IE322_22170,HNE05_15105,KQ248_08980,BVH74_04130,H7683_13510,MT1_1121,CL52_03475,I9X27_26470,CHR29_26980,NCTC10038_05943,JQN61_20680,A0T30_19225,I9X29_27540,CS390_23900,AOU28_23155,KCX70_18350,DCC84_32950,CHN49_27065,FIU84_10785,FIV02_03230,PA4930,JHW37_26435,AO353_09145,NCTC13359_06221,I9X26_30285,HZ99_16865,ICJ54_01185,D3880_01985,FIU98_03225,PproGo58_57250,OU9_05035,JYG34_25620,HAV28_24700,CHR26_08450,HXW90_30470
PA14_27500,Alanine and Aspartate Metabolism,Amino acids,FXF61_08705,IH404_09880,FA030_08330,PPTS312_18920,Pput_3843,C3F42_08080,AO356_03090,TK06_12335,FQ342_21155,FIU24_21265,IE322_14490,HNE05_09435,KQ248_12565,BVH74_11520,H7683_23370,MT1_1827,CL52_12270,I9X27_10885,CHR29_07385,NCTC10038_01954,JQN61_14250,A0T30_13885,I9X29_11220,CS390_17620,AOU28_09230,KCX70_08515,DCC84_09595,CHN49_20270,FIU84_12960,FIV02_10865,PA2828,JHW37_10625,AO353_19150,NCTC13359_02726,I9X26_11510,HZ99_27480,ICJ54_09110,D3880_13030,FIU98_10845,PproGo58_40930,OU9_02873,JYG34_07535,HAV28_18430,CHR26_00405,HXW90_09370
PA14_35440,Alanine and Aspartate Metabolism,Amino acids,FXF61_10010,IH404_00485,FA030_12725,PPTS312_09870,Pput_0529,C3F42_14430,AO356_11100,TK06_20455,FQ342_11450,FIU24_16870,IE322_18815,HNE05_18465,KQ248_05720,BVH74_15110,H7683_10590,MT1_0578,CL52_19755,I9X27_14315,CHR29_02930,NCTC10038_06033,JQN61_02695,A0T30_01365,I9X29_14480,CS390_12215,AOU28_06190,KCX70_21220,DCC84_33440,CHN49_02545,FIU84_01140,FIV02_00645,PA2253,JHW37_14295,AO353_09960,NCTC13359_03583,I9X26_16960,HZ99_17200,ICJ54_04460,D3880_22210,FIU98_00645,PproGo58_58500,OU9_02271,JYG34_02615,HAV28_22695,CHR26_04930,HXW90_30965
PA14_19370,Alanine and Aspartate Metabolism,Amino acids,FXF61_12715,IH404_19555,FA030_04785,PPTS312_17850,Pput_3964,C3F42_24890,AO356_03575,TK06_12800,FQ342_20700,FIU24_24810,IE322_15000,HNE05_04545,KQ248_17850,BVH74_01810,H7683_00945,MT1_2866,CL52_07010,I9X27_07640,CHR29_06850,NCTC10038_04218,JQN61_14795,A0T30_15015,I9X29_07920,CS390_23805,AOU28_12460,KCX70_13695,DCC84_09980,CHN49_20920,FIU84_06935,FIV02_15975,PA3459,JHW37_07475,,NCTC13359_02008,I9X26_08205,HZ99_26960,ICJ54_08525,D3880_22475,FIU98_15955,PproGo58_41890,OU9_03520,JYG34_06940,HAV28_19015,CHR26_00995,HXW90_22065
PA14_37560,Alanine and Aspartate Metabolism,Amino acids,FXF61_09610,IH404_19555,FA030_13725,PPTS312_17850,Pput_3964,C3F42_24890,AO356_03575,TK06_12800,FQ342_20700,FIU24_15870,IE322_15000,HNE05_04545,KQ248_17850,,H7683_00945,MT1_2866,CL52_07010,I9X27_15275,CHR29_06850,NCTC10038_04218,JQN61_14795,A0T30_15015,I9X29_15275,CS390_23805,AOU28_05390,KCX70_13695,DCC84_09980,CHN49_20920,FIU84_06935,FIV02_14230,PA2084,JHW37_07475,,NCTC13359_03781,I9X26_18080,HZ99_26960,ICJ54_08525,,FIU98_14210,PproGo58_41890,OU9_02108,JYG34_06940,HAV28_12100,CHR26_00995,HXW90_22065
PA14_71650,Alanine and Aspartate Metabolism,Amino acids,FXF61_11230,IH404_00475,FA030_28630,PPTS312_04410,Pput_5247,C3F42_17740,AO356_11090,TK06_20445,FQ342_11510,FIU24_00955,IE322_21840,HNE05_18490,KQ248_05740,BVH74_15115,H7683_10475,MT1_0583,CL52_19720,I9X27_29170,CHR29_27530,NCTC10038_06031,JQN61_21015,A0T30_01330,I9X29_30155,CS390_24255,AOU28_16845,KCX70_21185,DCC84_33430,CHN49_27415,FIU84_01160,FIV02_00600,PA5429,JHW37_29025,AO353_09950,NCTC13359_00223,I9X26_33165,HZ99_17190,ICJ54_01520,D3880_22205,FIU98_00600,PproGo58_58210,OU9_05548,JYG34_25940,HAV28_25045,CHR26_08130,HXW90_30955
PA14_67150,Alanine and Aspartate Metabolism,Amino acids,FXF61_01300,IH404_26605,FA030_26755,PPTS312_03760,Pput_1556,C3F42_07375,AO356_12620,TK06_17045,FQ342_13130,FIU24_02830,IE322_17130,HNE05_18855,KQ248_01775,BVH74_04140,H7683_08970,MT1_4354,CL52_02230,I9X27_27260,CHR29_26985,NCTC10038_05696,JQN61_08600,A0T30_00940,I9X29_28325,CS390_23910,AOU28_22370,KCX70_12990,DCC84_31710,CHN49_08065,FIU84_11285,FIV02_23730,PA5084,JHW37_27155,AO353_08065,NCTC13359_06384,I9X26_31070,HZ99_15755,ICJ54_06355,D3880_21700,FIU98_23710,PproGo58_54890,OU9_05189,JYG34_07920,HAV28_24705,CHR26_17165,HXW90_29305
