bnum	position	modification
MT1_r003	1518	m62A
MT1_r003	1519	m62A
MT1_r001	1518	m62A
MT1_r001	1519	m62A
MT1_r002	1518	m62A
MT1_r002	1519	m62A
MT1_r003	967	m5C
MT1_r001	967	m5C
MT1_r002	967	m5C
MT1_r003	966	m2G
MT1_r001	966	m2G
MT1_r002	966	m2G
MT1_r003	1498	m3U
MT1_r001	1498	m3U
MT1_r002	1498	m3U
MT1_r003	527	m7G
MT1_r001	527	m7G
MT1_r002	527	m7G
MT1_r003	1402	m4Cm
MT1_r001	1402	m4Cm
MT1_r002	1402	m4Cm
MT1_r003	516	Y
MT1_r001	516	Y
MT1_r002	516	Y
MT1_r004	2503	m2A
MT1_r004	2251	Gm
MT1_r004	1939	m5U
MT1_r004	2498	Cm
MT1_r004	745	m1G
MT1_r004	1835	m2G
MT1_r004	1962	m5C
MT1_r004	1618	m6A
MT1_r004	2069	m7G
MT1_r004	2552	Um
MT1_r004	1911	Y
MT1_r004	1915	Y
MT1_r004	1917	Y
