TU_id	replicon	genes	start	stop	tss	strand	rho_dependent	rnapol
TU1G01-4286_from_G1G01-424-MONOMER	AE015451.2	PP_3749	4278371	4278709		+	True	G1G01-424-MONOMER
TU1G01-7304_from_G1G01-424-MONOMER	AE015451.2	PP_0509	597576	597920		+	True	G1G01-424-MONOMER
TU1G01-258_from_G1G01-424-MONOMER	AE015451.2	PP_5432	251821	252063		+	True	G1G01-424-MONOMER
TU1G01-4972_from_G1G01-424-MONOMER	AE015451.2	PP_4418	5013565	5013888		+	True	G1G01-424-MONOMER
TU1G01-5634_from_G1G01-424-MONOMER	AE015451.2	PP_4977	5669524	5670411		+	True	G1G01-424-MONOMER
TU1G01-6298_from_G1G01-424-MONOMER	AE015451.2	PP_4734	5382513	5383280		-	True	G1G01-424-MONOMER
TU1G01-2926_from_G1G01-424-MONOMER	AE015451.2	PP_5536	2886112	2886993		-	True	G1G01-424-MONOMER
TU1G01-1096_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_0967,PP_0966,PP_0965	1106849,1105521,1104599	1107895,1106846,1105234		+	True	G1G01-424-MONOMER
TU1G01-1882_from_G1G01-424-MONOMER	AE015451.2	PP_1694	1885334	1886821		+	True	G1G01-424-MONOMER
TU1G01-360_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2	PP_0293,PP_0292,PP_0291,PP_0290,PP_0289	352263,351515,351227,350588,349955	353033,352252,351487,351226,350587		+	True	G1G01-424-MONOMER
TU1G01-4258_from_G1G01-424-MONOMER	AE015451.2	PP_3712	4235226	4235720		-	True	G1G01-424-MONOMER
TU1G01-7276_from_G1G01-424-MONOMER	AE015451.2	PP_0650	758360	758470		-	True	G1G01-424-MONOMER
TU1G01-2550_from_G1G01-424-MONOMER	AE015451.2	PP_2245	2561555	2562148		-	True	G1G01-424-MONOMER
TU1G01-4942_from_G1G01-424-MONOMER	AE015451.2	PP_4398	4988424	4989758		-	True	G1G01-424-MONOMER
TU1G01-5604_from_G1G01-424-MONOMER	AE015451.2	PP_4946	5628637	5630265		-	True	G1G01-424-MONOMER
TU1G01-6268_from_G1G01-424-MONOMER	AE015451.2	PP_4920	5592055	5592801		+	True	G1G01-424-MONOMER
TU1G01-2898_from_G1G01-424-MONOMER	AE015451.2	PP_2520	2868345	2868461		+	True	G1G01-424-MONOMER
TU1G01-1066_from_G1G01-424-MONOMER	AE015451.2	PP_0927	1068839	1070200		+	True	G1G01-424-MONOMER
TU1G01-1854_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_1665,PP_1664,PP_1663	1860936,1860283,1859564	1861994,1860936,1860274		-	True	G1G01-424-MONOMER
TU1G01-3566_from_G1G01-424-MONOMER	AE015451.2	PP_3129	3541757	3542722		-	True	G1G01-424-MONOMER
TU1G01-4228_from_G1G01-424-MONOMER	AE015451.2	PP_3690	4199715	4201037		-	True	G1G01-424-MONOMER
TU1G01-7246_from_G1G01-424-MONOMER	AE015451.2	PP_0838	975320	976138		-	True	G1G01-424-MONOMER
TU1G01-2520_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_2224,PP_2223	2532756,2532229	2532968,2532759		+	True	G1G01-424-MONOMER
TU1G01-4906_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2	PP_4365,PP_4366,PP_4367,PP_4370,PP_4369,PP_4368	4954922,4955381,4956726,4960486,4958692,4957680	4955374,4956754,4957517,4960818,4960470,4958699		-	True	G1G01-424-MONOMER
TU1G01-5578_from_G1G01-424-MONOMER	AE015451.2	PP_mr58	5596228	5596334		-	True	G1G01-424-MONOMER
TU1G01-624_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_0559,PP_0558	649695,648322	650156,649677		-	True	G1G01-424-MONOMER
TU1G01-2868_from_G1G01-424-MONOMER	AE015451.2	PP_5531	2851571	2852089		+	True	G1G01-424-MONOMER
TU1G01-1038_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_0905,PP_0904,PP_0903	1044994,1044293,1043609	1045227,1044994,1044289		+	True	G1G01-424-MONOMER
TU1G01-1824_from_G1G01-424-MONOMER	AE015451.2	PP_1634	1831122	1831832		+	True	G1G01-424-MONOMER
TU1G01-3538_from_G1G01-424-MONOMER	AE015451.2	PP_5580	3519154	3519381		+	True	G1G01-424-MONOMER
TU1G01-420_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_0349,PP_5443	424197,424015	425309,424200		-	True	G1G01-424-MONOMER
TU1G01-7218_from_G1G01-424-MONOMER	AE015451.2	PP_1033	1178789	1180777		-	True	G1G01-424-MONOMER
TU1G01-2492_from_G1G01-424-MONOMER	AE015451.2	PP_2196	2502706	2503641		+	True	G1G01-424-MONOMER
TU1G01-4872_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_4329,PP_4328	4919155,4917602	4919493,4919158		+	True	G1G01-424-MONOMER
TU1G01-5548_from_G1G01-424-MONOMER	AE015451.2	PP_4890	5559309	5560496		-	True	G1G01-424-MONOMER
TU1G01-6210_from_G1G01-424-MONOMER	AE015451.2	PP_5150	5876304	5876978		+	True	G1G01-424-MONOMER
TU1G01-284_from_G1G01-424-MONOMER	AE015451.2	PP_0224	277264	278505		-	True	G1G01-424-MONOMER
TU1G01-1008_from_G1G01-424-MONOMER	AE015451.2	PP_0873	1013303	1014382		-	True	G1G01-424-MONOMER
TU1G01-1798_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_1614,PP_1613	1810686,1810408	1811393,1810689		+	True	G1G01-424-MONOMER
TU1G01-3508_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2	PP_5562,PP_3100,PP_3099,PP_3098,PP_3097,PP_3096,PP_3095,PP_3094,PP_3093,PP_3092,PP_3091,PP_5561,PP_3090	3496832,3496228,3494711,3494202,3492382,3491348,3488754,3488007,3486667,3485954,3482120,3481215,3478723	3497596,3496803,3496213,3494684,3494202,3492418,3491390,3488729,3488010,3486670,3485923,3482123,3481218		-	True	G1G01-424-MONOMER
TU1G01-4172_from_G1G01-424-MONOMER	AE015451.2	PP_3657	4153384	4154058		-	True	G1G01-424-MONOMER
TU1G01-7190_from_G1G01-424-MONOMER	AE015451.2	PP_5464	1276017	1276454		+	True	G1G01-424-MONOMER
TU1G01-2462_from_G1G01-424-MONOMER	AE015451.2	PP_2169	2475358	2476368		-	True	G1G01-424-MONOMER
TU1G01-484_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2,AE015451.2	PP_0404,PP_0403,PP_0402,PP_0401	489598,488298,487312,486512	492420,489617,488301,487315		-	True	G1G01-424-MONOMER
TU1G01-5518_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2,AE015451.2,AE015451.2	PP_4867,PP_4866,PP_4865,PP_4864,PP_4863	5533338,5532269,5530965,5530093,5529380	5534474,5533183,5532272,5530968,5530096		-	True	G1G01-424-MONOMER
TU1G01-6182_from_G1G01-424-MONOMER	AE015451.2	PP_5216	5949284	5950786		+	True	G1G01-424-MONOMER
TU1G01-2810_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_2466,PP_2465	2811534,2809594	2812067,2811516		+	True	G1G01-424-MONOMER
TU1G01-1768_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_1586,PP_1585	1777866,1777558	1778144,1777857		-	True	G1G01-424-MONOMER
TU1G01-348_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_0281,PP_0280	338568,337879	339260,338568		-	True	G1G01-424-MONOMER
TU1G01-4142_from_G1G01-424-MONOMER	AE015451.2	PP_3634	4130402	4131088		+	True	G1G01-424-MONOMER
TU1G01-7160_from_G1G01-424-MONOMER	AE015451.2	PP_1260	1440328	1441656		+	True	G1G01-424-MONOMER
TU1G01-2432_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_2148,PP_2147,PP_2146	2451669,2451087,2447765	2455118,2451659,2451082		-	True	G1G01-424-MONOMER
TU1G01-4810_from_G1G01-424-MONOMER	AE015451.2	PP_5670	4856224	4856499		-	True	G1G01-424-MONOMER
TU1G01-5488_from_G1G01-424-MONOMER	AE015451.2,AE015451.2	PP_4837,PP_4836	5502553,5502045	5502984,5502530		+	True	G1G01-424-MONOMER
TU1G01-5482_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_4832,PP_4831,PP_4830	5499223,5498132,5496928	5499942,5499226,5498139		+	True	G1G01-424-MONOMER
TU1G01-6148_from_G1G01-424-MONOMER	AE015451.2	PP_5274	6023229	6023552		-	True	G1G01-424-MONOMER
TU1G01-2778_from_G1G01-424-MONOMER	AE015451.2	PP_2440	2787678	2789240		+	True	G1G01-424-MONOMER
TU1G01-1734_from_G1G01-424-MONOMER	AE015451.2	PP_1544	1746079	1746465		-	True	G1G01-424-MONOMER
TU1G01-3444_from_G1G01-424-MONOMER	AE015451.2	PP_3031	3418094	3418411		-	True	G1G01-424-MONOMER
TU1G01-4108_from_G1G01-424-MONOMER	AE015451.2,AE015451.2,AE015451.2	PP_3602,PP_3601,PP_3600	4093004,4091392,4089950	4094584,4092945,4091314		+	True	G1G01-424-MONOMER
TU1G01-7126_from_G1G01-424-MONOMER	AE015451.2	PP_1412	1610971	1612077		-	True	G1G01-424-MONOMER
TU1G01-24_from_G1G01-424-MONOMER		PP_0020,PP_0019,PP_0018	24696,24001,23177	25570,24698,24018		+	True	G1G01-424-MONOMER
