TU_id	replicon	genes	start	stop	tss	strand	rho_dependent	rnapol
TU1W2W-781_from_EWS79_RS07230-MONOMER	EWS79_RS06650	EWS79_RS06650	1	183		-	True	EWS79_RS07230-MONOMER
TU1W2W-457_from_EWS79_RS07230-MONOMER	EWS79_RS03940	EWS79_RS03940	1	1155		-	True	EWS79_RS07230-MONOMER
TU1W2W-637_from_EWS79_RS07230-MONOMER	EWS79_RS05505	EWS79_RS05505	1	606		-	True	EWS79_RS07230-MONOMER
TU1W2W-1212_from_EWS79_RS07230-MONOMER	EWS79_RS02140	EWS79_RS02140	1	1353		+	True	EWS79_RS07230-MONOMER
TU1W2W-16_from_EWS79_RS07230-MONOMER	EWS79_RS00155	EWS79_RS00155	1	435		-	True	EWS79_RS07230-MONOMER
TU1W2W-651_from_EWS79_RS07230-MONOMER	EWS79_RS05580	EWS79_RS05580	1	444		-	True	EWS79_RS07230-MONOMER
TU1W2W-845_from_EWS79_RS07230-MONOMER	EWS79_RS07145	EWS79_RS07145	1	1458		+	True	EWS79_RS07230-MONOMER
TU1W2W-996_from_EWS79_RS07230-MONOMER	EWS79_RS08395	EWS79_RS08395	1	2796		-	True	EWS79_RS07230-MONOMER
TU1W2W-53_from_EWS79_RS07230-MONOMER	EWS79_RS00450,EWS79_RS00445	EWS79_RS00450,EWS79_RS00445	1	1440		+	True	EWS79_RS07230-MONOMER
TU1W2W-662_from_EWS79_RS07230-MONOMER	EWS79_RS05725,EWS79_RS05720,EWS79_RS05715	EWS79_RS05725,EWS79_RS05720,EWS79_RS05715	1	1638		-	True	EWS79_RS07230-MONOMER
TU1W2W-1045_from_EWS79_RS07230-MONOMER	EWS79_RS08895	EWS79_RS08895	1	1182		-	True	EWS79_RS07230-MONOMER
TU1W2W-1154_from_EWS79_RS07230-MONOMER	EWS79_RS04665	EWS79_RS04665	1	1587		-	True	EWS79_RS07230-MONOMER
TU1W2W-161_from_EWS79_RS07230-MONOMER	EWS79_RS01270	EWS79_RS01270	1	699		-	True	EWS79_RS07230-MONOMER
TU1W2W-46_from_EWS79_RS07230-MONOMER	EWS79_RS00390	EWS79_RS00390	1	222		-	True	EWS79_RS07230-MONOMER
TU1W2W-390_from_EWS79_RS07230-MONOMER	EWS79_RS03310	EWS79_RS03310	1	420		+	True	EWS79_RS07230-MONOMER
TU1W2W-935_from_EWS79_RS07230-MONOMER	EWS79_RS07855	EWS79_RS07855	1	1377		-	True	EWS79_RS07230-MONOMER
TU1W2W-844_from_EWS79_RS07230-MONOMER	EWS79_RS07140,EWS79_RS07135	EWS79_RS07140,EWS79_RS07135	1	963		+	True	EWS79_RS07230-MONOMER
TU1W2W-164_from_EWS79_RS07230-MONOMER	EWS79_RS01285	EWS79_RS01285	1	753		+	True	EWS79_RS07230-MONOMER
