Transcription-Units	Direction	Genes of transcription unit
TU1W2W-781	-	EWS79_RS06650
TU1W2W-457	-	EWS79_RS03940
TU1W2W-637	-	EWS79_RS05505
TU1W2W-1212	+	EWS79_RS02140
TU1W2W-16	-	EWS79_RS00155
TU1W2W-651	-	EWS79_RS05580
TU1W2W-845	+	EWS79_RS07145
TU1W2W-996	-	EWS79_RS08395
TU1W2W-53	+	EWS79_RS00450 // EWS79_RS00445
TU1W2W-662	-	EWS79_RS05725 // EWS79_RS05720 // EWS79_RS05715
TU1W2W-1045	-	EWS79_RS08895
TU1W2W-1154	-	EWS79_RS04665
TU1W2W-161	-	EWS79_RS01270
TU1W2W-46	-	EWS79_RS00390
TU1W2W-390	+	EWS79_RS03310
TU1W2W-935	-	EWS79_RS07855
TU1W2W-844	+	EWS79_RS07140 // EWS79_RS07135
TU1W2W-164	+	EWS79_RS01285
TU1W2W-950	-	EWS79_RS07955
TU1W2W-797	-	EWS79_RS06785
TU1W2W-932	+	EWS79_RS07840
TU1W2W-518	+	EWS79_RS04475 // EWS79_RS04470 // EWS79_RS04465
TU1W2W-938	+	EWS79_RS07870
TU1W2W-724	-	EWS79_RS06205
TU1W2W-572	+	EWS79_RS04975
TU1W2W-899	-	EWS79_RS07590
TU1W2W-823	+	EWS79_RS07000
TU1W2W-343	+	EWS79_RS02940
TU1W2W-174	+	EWS79_RS01365
TU1W2W-686	+	EWS79_RS05935
TU1W2W-495	-	EWS79_RS04245 // EWS79_RS04240 // EWS79_RS04235
TU1W2W-1225	-	EWS79_RS01410
TU1W2W-858	+	EWS79_RS07260 // EWS79_RS07255 // EWS79_RS07250 // EWS79_RS07245 // EWS79_RS07240
TU1W2W-634	-	EWS79_RS05480
TU1W2W-32	-	EWS79_RS00295 // EWS79_RS00290
TU1W2W-66	-	EWS79_RS00540
TU1W2W-575	-	EWS79_RS04995 // EWS79_RS04990
TU1W2W-671	-	EWS79_RS05805
TU1W2W-360	-	EWS79_RS03065
TU1W2W-298	-	EWS79_RS02500
TU1W2W-734	-	EWS79_RS06260
TU1W2W-1238	+	EWS79_RS00875
TU1W2W-74	-	EWS79_RS00580
TU1W2W-202	+	EWS79_RS01560
TU1W2W-819	+	EWS79_RS06950
TU1W2W-176	+	EWS79_RS01380
TU1W2W-1059	+	EWS79_RS08985
TU1W2W-54	+	EWS79_RS00460
TU1W2W-435	-	EWS79_RS03765
TU1W2W-281	+	EWS79_RS02355
TU1W2W-347	-	EWS79_RS02980
TU1W2W-807	-	EWS79_RS06850
TU1W2W-143	-	EWS79_RS01145
TU1W2W-42	-	EWS79_RS00370
TU1W2W-179	+	EWS79_RS01405
TU1W2W-249	-	EWS79_RS02030 // EWS79_RS02025 // EWS79_RS02020 // EWS79_RS02015 // EWS79_RS02010
TU1W2W-77	-	EWS79_RS00605
TU1W2W-1177	+	EWS79_RS03925
TU1W2W-699	-	EWS79_RS06025
TU1W2W-89	+	EWS79_RS00685
TU1W2W-876	+	EWS79_RS07415
TU1W2W-925	+	EWS79_RS07775
TU1W2W-75	+	EWS79_RS00590 // EWS79_RS00585
TU1W2W-1091	+	EWS79_RS08020
TU1W2W-236	+	EWS79_RS01885 // EWS79_RS01880 // EWS79_RS01875
TU1W2W-1206	-	EWS79_RS02470
TU1W2W-729	-	EWS79_RS06235
TU1W2W-735	+	EWS79_RS06265
TU1W2W-258	+	EWS79_RS02105
TU1W2W-1060	-	EWS79_RS09005 // EWS79_RS09000 // EWS79_RS08995 // EWS79_RS08990
TU1W2W-1052	+	EWS79_RS08935
TU1W2W-742	+	EWS79_RS06320 // EWS79_RS06315
TU1W2W-1044	-	EWS79_RS08890
TU1W2W-763	-	EWS79_RS06535
TU1W2W-273	+	EWS79_RS02235
TU1W2W-989	-	EWS79_RS08335
TU1W2W-959	-	EWS79_RS08010
TU1W2W-211	+	EWS79_RS01635
TU1W2W-261	+	EWS79_RS02120
TU1W2W-370	+	EWS79_RS03150
TU1W2W-1063	+	EWS79_RS09030
TU1W2W-182	+	EWS79_RS01425
TU1W2W-1109	+	EWS79_RS07060
TU1W2W-440	+	EWS79_RS03805 // EWS79_RS03800
TU1W2W-431	+	EWS79_RS03720 // EWS79_RS03715
TU1W2W-1056	-	EWS79_RS08965
TU1W2W-278	+	EWS79_RS02335
TU1W2W-404	-	EWS79_RS03465 // EWS79_RS03460 // EWS79_RS03455
TU1W2W-723	-	EWS79_RS06200 // EWS79_RS06195
TU1W2W-201	+	EWS79_RS01555 // EWS79_RS01550
TU1W2W-394	+	EWS79_RS03330
TU1W2W-230	-	EWS79_RS01845
TU1W2W-578	+	EWS79_RS05035 // EWS79_RS05030 // EWS79_RS05025
TU1W2W-602	+	EWS79_RS05225
TU1W2W-650	-	EWS79_RS05575
TU1W2W-1003	+	EWS79_RS08475
TU1W2W-252	-	EWS79_RS02060
TU1W2W-30	+	EWS79_RS00280
TU1W2W-97	+	EWS79_RS00740
TU1W2W-812	+	EWS79_RS06895
TU1W2W-413	-	EWS79_RS03520
TU1W2W-916	-	EWS79_RS07715
TU1W2W-1055	-	EWS79_RS08960 // EWS79_RS08955
TU1W2W-732	-	EWS79_RS06250
TU1W2W-750	-	EWS79_RS06405
TU1W2W-510	-	EWS79_RS04400 // EWS79_RS04395 // EWS79_RS04390
TU1W2W-1074	-	EWS79_RS08680
TU1W2W-1104	-	EWS79_RS07345
TU1W2W-1158	-	EWS79_RS04450
TU1W2W-304	-	EWS79_RS02540
TU1W2W-159	+	EWS79_RS01260
TU1W2W-853	-	EWS79_RS07205 // EWS79_RS07200
TU1W2W-432	+	EWS79_RS03725
TU1W2W-1193	+	EWS79_RS03270
TU1W2W-540	-	EWS79_RS04645
TU1W2W-166	-	EWS79_RS01300
TU1W2W-1062	+	EWS79_RS09020
TU1W2W-1008	-	EWS79_RS08505
TU1W2W-328	+	EWS79_RS02775
TU1W2W-1022	+	EWS79_RS08630
TU1W2W-533	+	EWS79_RS04600
TU1W2W-908	-	EWS79_RS07675
TU1W2W-126	-	EWS79_RS01010
TU1W2W-1087	+	EWS79_RS08085
TU1W2W-937	+	EWS79_RS07865
TU1W2W-849	-	EWS79_RS07175 // EWS79_RS07170
TU1W2W-1049	+	EWS79_RS08920 // EWS79_RS08915
TU1W2W-798	+	EWS79_RS06790
TU1W2W-25	-	EWS79_RS00255
TU1W2W-808	+	EWS79_RS06860 // EWS79_RS06855
TU1W2W-1002	-	EWS79_RS08460 // EWS79_RS08455
TU1W2W-1230	-	EWS79_RS01230
TU1W2W-284	+	EWS79_RS02370
TU1W2W-1199	+	EWS79_RS03095
TU1W2W-302	+	EWS79_RS02530 // EWS79_RS02525
TU1W2W-293	+	EWS79_RS02460
TU1W2W-514	+	EWS79_RS04440 // EWS79_RS04435
TU1W2W-1128	-	EWS79_RS06160
TU1W2W-213	+	EWS79_RS01670 // EWS79_RS01665 // EWS79_RS01660
TU1W2W-1223	-	EWS79_RS01565
TU1W2W-141	-	EWS79_RS01135
TU1W2W-961	-	EWS79_RS08035
TU1W2W-345	+	EWS79_RS02960 // EWS79_RS02955
TU1W2W-331	+	EWS79_RS02865 // EWS79_RS02860
