bnum	position	modification
NCTC10038_00005	1518	m62A
NCTC10038_00005	1519	m62A
NCTC10038_00122	1518	m62A
NCTC10038_00122	1519	m62A
NCTC10038_00725	1518	m62A
NCTC10038_00725	1519	m62A
NCTC10038_02164	1518	m62A
NCTC10038_02164	1519	m62A
NCTC10038_05176	1518	m62A
NCTC10038_05176	1519	m62A
NCTC10038_05505	1518	m62A
NCTC10038_05505	1519	m62A
NCTC10038_00005	967	m5C
NCTC10038_00122	967	m5C
NCTC10038_00725	967	m5C
NCTC10038_02164	967	m5C
NCTC10038_05176	967	m5C
NCTC10038_05505	967	m5C
NCTC10038_00005	966	m2G
NCTC10038_00122	966	m2G
NCTC10038_00725	966	m2G
NCTC10038_02164	966	m2G
NCTC10038_05176	966	m2G
NCTC10038_05505	966	m2G
NCTC10038_00005	1498	m3U
NCTC10038_00122	1498	m3U
NCTC10038_00725	1498	m3U
NCTC10038_02164	1498	m3U
NCTC10038_05176	1498	m3U
NCTC10038_05505	1498	m3U
NCTC10038_00005	527	m7G
NCTC10038_00122	527	m7G
NCTC10038_00725	527	m7G
NCTC10038_02164	527	m7G
NCTC10038_05176	527	m7G
NCTC10038_05505	527	m7G
NCTC10038_00005	1402	m4Cm
NCTC10038_00122	1402	m4Cm
NCTC10038_00725	1402	m4Cm
NCTC10038_02164	1402	m4Cm
NCTC10038_05176	1402	m4Cm
NCTC10038_05505	1402	m4Cm
NCTC10038_00005	516	Y
NCTC10038_00122	516	Y
NCTC10038_00725	516	Y
NCTC10038_02164	516	Y
NCTC10038_05176	516	Y
NCTC10038_05505	516	Y
NCTC10038_00006	2503	m2A
NCTC10038_00125	2503	m2A
NCTC10038_00728	2503	m2A
NCTC10038_02167	2503	m2A
NCTC10038_05173	2503	m2A
NCTC10038_05502	2503	m2A
NCTC10038_00006	2251	Gm
NCTC10038_00125	2251	Gm
NCTC10038_00728	2251	Gm
NCTC10038_02167	2251	Gm
NCTC10038_05173	2251	Gm
NCTC10038_05502	2251	Gm
NCTC10038_00006	1939	m5U
NCTC10038_00125	1939	m5U
NCTC10038_00728	1939	m5U
NCTC10038_02167	1939	m5U
NCTC10038_05173	1939	m5U
NCTC10038_05502	1939	m5U
NCTC10038_00006	2498	Cm
NCTC10038_00125	2498	Cm
NCTC10038_00728	2498	Cm
NCTC10038_02167	2498	Cm
NCTC10038_05173	2498	Cm
NCTC10038_05502	2498	Cm
NCTC10038_00006	745	m1G
NCTC10038_00125	745	m1G
NCTC10038_00728	745	m1G
NCTC10038_02167	745	m1G
NCTC10038_05173	745	m1G
NCTC10038_05502	745	m1G
NCTC10038_00006	1835	m2G
NCTC10038_00125	1835	m2G
NCTC10038_00728	1835	m2G
NCTC10038_02167	1835	m2G
NCTC10038_05173	1835	m2G
NCTC10038_05502	1835	m2G
NCTC10038_00006	1962	m5C
NCTC10038_00125	1962	m5C
NCTC10038_00728	1962	m5C
NCTC10038_02167	1962	m5C
NCTC10038_05173	1962	m5C
NCTC10038_05502	1962	m5C
NCTC10038_00006	1618	m6A
NCTC10038_00125	1618	m6A
NCTC10038_00728	1618	m6A
NCTC10038_02167	1618	m6A
NCTC10038_05173	1618	m6A
NCTC10038_05502	1618	m6A
NCTC10038_00006	2069	m7G
NCTC10038_00125	2069	m7G
NCTC10038_00728	2069	m7G
NCTC10038_02167	2069	m7G
NCTC10038_05173	2069	m7G
NCTC10038_05502	2069	m7G
NCTC10038_00006	2552	Um
NCTC10038_00125	2552	Um
NCTC10038_00728	2552	Um
NCTC10038_02167	2552	Um
NCTC10038_05173	2552	Um
NCTC10038_05502	2552	Um
NCTC10038_00006	1911	Y
NCTC10038_00006	1915	Y
NCTC10038_00006	1917	Y
NCTC10038_00125	1911	Y
NCTC10038_00125	1915	Y
NCTC10038_00125	1917	Y
NCTC10038_00728	1911	Y
NCTC10038_00728	1915	Y
NCTC10038_00728	1917	Y
NCTC10038_02167	1911	Y
NCTC10038_02167	1915	Y
NCTC10038_02167	1917	Y
NCTC10038_05173	1911	Y
NCTC10038_05173	1915	Y
NCTC10038_05173	1917	Y
NCTC10038_05502	1911	Y
NCTC10038_05502	1915	Y
NCTC10038_05502	1917	Y
