Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G1G01-389	PP_0355	432406	432975	G1G01-389-MONOMER
G1G01-2213	PP_2075	2360023	2361156	G1G01-2213-MONOMER
G1G01-4413	PP_4146	4683362	4685191	G1G01-4413-MONOMER
G1G01-2696	PP_5535	2859764	2860222	G1G01-2696-MONOMER
G1G01-4866	PP_4558	5180055	5180495	G1G01-4866-MONOMER
G1G01-5293	PP_4949	5637467	5638909	G1G01-5293-MONOMER
G1G01-1246	PP_1163	1337285	1339321	G1G01-1246-MONOMER
G1G01-3438	PP_3216	3650214	3650822	G1G01-3438-MONOMER
G1G01-962	PP_0887	1029943	1031295	G1G01-962-MONOMER
G1G01-1708	PP_1611	1807950	1808795	G1G01-1708-MONOMER
G1G01-3874	PP_3636	4131955	4133160	G1G01-3874-MONOMER
G1G01-2193	PP_2055	2338208	2339287	G1G01-2193-MONOMER
G1G01-4396	PP_4129	4666235	4668088	G1G01-4396-MONOMER
G1G01-2665	PP_2490	2838698	2839522	G1G01-2665-MONOMER
G1G01-4845	PP_4538	5154468	5155067	G1G01-4845-MONOMER
G1G01-5275	PP_4932	5612179	5612991	G1G01-5275-MONOMER
G1G01-1221	PP_1143	1308481	1309368	G1G01-1221-MONOMER
G1G01-5696	PP_5340	6087779	6088822	G1G01-5696-MONOMER
G1G01-3417	PP_3196	3625564	3626502	G1G01-3417-MONOMER
G1G01-944	PP_0869	1008744	1009397	G1G01-944-MONOMER
G1G01-1691	PP_1594	1787955	1788512	G1G01-1691-MONOMER
G1G01-3854	PP_3616	4108179	4111169	G1G01-3854-MONOMER
G1G01-2171	PP_2035	2312873	2314087	G1G01-2171-MONOMER
G1G01-4378	PP_4111	4645436	4647547	G1G01-4378-MONOMER
G1G01-2643	PP_2472	2816533	2816889	G1G01-2643-MONOMER
G1G01-4817	PP_4514	5126448	5128634	G1G01-4817-MONOMER
G1G01-5257	PP_4915	5587243	5589147	G1G01-5257-MONOMER
G1G01-1202	PP_1124	1286055	1286519	G1G01-1202-MONOMER
G1G01-568	PP_0519	604688	605656	G1G01-568-MONOMER
G1G01-3395	PP_3175	3598184	3599704	G1G01-3395-MONOMER
G1G01-927	PP_0852	986003	987010	G1G01-927-MONOMER
G1G01-1664	PP_1570	1762843	1763184	G1G01-1664-MONOMER
G1G01-3836	PP_3599	4088934	4089845	G1G01-3836-MONOMER
G1G01-215	PP_0198	248420	249052	G1G01-215-MONOMER
G1G01-4350	PP_4085	4613630	4618222	G1G01-4350-MONOMER
G1G01-2625	PP_2455	2801617	2803191	G1G01-2625-MONOMER
G1G01-4796	PP_4493	5105091	5108111	G1G01-4796-MONOMER
G1G01-5239	PP_4897	5567485	5568915	G1G01-5239-MONOMER
G1G01-1181	PP_1108	1265546	1267987	G1G01-1181-MONOMER
G1G01-5663	PP_5306	6053657	6054619	G1G01-5663-MONOMER
G1G01-3376	PP_3157	3576615	3577406	G1G01-3376-MONOMER
G1G01-912	PP_0837	974609	975151	G1G01-912-MONOMER
G1G01-1633	PP_1541	1743291	1744211	G1G01-1633-MONOMER
G1G01-3819	PP_3582	4064469	4065959	G1G01-3819-MONOMER
G1G01-2126	PP_1996	2264051	2264944	G1G01-2126-MONOMER
G1G01-4321	PP_4056	4575604	4576398	G1G01-4321-MONOMER
G1G01-2600	PP_2435	2781148	2782365	G1G01-2600-MONOMER
G1G01-4776	PP_4475	5084650	5085657	G1G01-4776-MONOMER
G1G01-5216	PP_4876	5544176	5544406	G1G01-5216-MONOMER
G1G01-1161	PP_1088	1246970	1248187	G1G01-1161-MONOMER
G1G01-1159	PP_1086	1244481	1245527	G1G01-1159-MONOMER
G1G01-5644	PP_5286	6034895	6035350	G1G01-5644-MONOMER
G1G01-3356	PP_3137	3552344	3553321	G1G01-3356-MONOMER
G1G01-889	PP_0816	954159	955046	G1G01-889-MONOMER
G1G01-1606	PP_1515	1719369	1720010	G1G01-1606-MONOMER
G1G01-3795	PP_3558	4037189	4038205	G1G01-3795-MONOMER
G1G01-2101	PP_1976	2238573	2239736	G1G01-2101-MONOMER
G1G01-4299	PP_4034	4544522	4545805	G1G01-4299-MONOMER
G1G01-2578	PP_2415	2761420	2762049	G1G01-2578-MONOMER
G1G01-4747	PP_4458	5059253	5060833	G1G01-4747-MONOMER
G1G01-5196	PP_4856	5522260	5522766	G1G01-5196-MONOMER
G1G01-1144	PP_1071	1225570	1226490	G1G01-1144-MONOMER
G1G01-5625	PP_5267	6016911	6017333	G1G01-5625-MONOMER
