,query,evalue
222.273.peg.1,b3702,5.62e-158
222.273.peg.1001,b4171,8.93e-106
222.273.peg.1002,b4170,4.1599999999999996e-95
222.273.peg.1003,b2317,4.63e-68
222.273.peg.1005,b2817,5.02e-140
222.273.peg.1007,b1611,0.0
222.273.peg.1012,b3447,5.54e-94
222.273.peg.1018,b1232,8.54e-76
222.273.peg.1019,b2660,2.97e-24
222.273.peg.1021,b1638,1.9600000000000003e-58
222.273.peg.1022,b1218,1.91e-31
222.273.peg.1024,b0878,2.22e-90
222.273.peg.1025,b0879,0.0
222.273.peg.1027,b2812,6.410000000000001e-66
222.273.peg.1028,b2540,4.5299999999999993e-23
222.273.peg.1032,b0076,5.6899999999999995e-30
222.273.peg.1034,b1812,2.15e-62
222.273.peg.1039,b3526,2.16e-32
222.273.peg.1057,b1803,7.74e-55
222.273.peg.1071,b4391,0.0
222.273.peg.1076,b1174,5.8399999999999996e-24
222.273.peg.1077,b1175,2.29e-146
222.273.peg.1078,b1176,4.11e-29
222.273.peg.1083,b0680,0.0
222.273.peg.1086,b3822,0.0
222.273.peg.1090,b1860,1.02e-171
222.273.peg.1093,b1861,3e-51
222.273.peg.1094,b1863,9.98e-34
222.273.peg.1095,b4006,0.0
222.273.peg.1096,b3261,2.39e-16
222.273.peg.1097,b3260,2.9100000000000003e-125
222.273.peg.1098,b2907,5.67e-45
222.273.peg.1100,b2908,1.33e-124
222.273.peg.1105,b4242,0.0
222.273.peg.1108,b1236,4.01e-80
222.273.peg.1110,b2494,1.2300000000000001e-37
222.273.peg.1111,b3353,3.43e-57
222.273.peg.1114,b3770,6.74e-101
222.273.peg.1129,b0272,6.24e-36
222.273.peg.1132,b0945,2.81e-119
222.273.peg.1134,b0885,9.13e-59
222.273.peg.1147,b3972,1.5e-102
222.273.peg.1148,b0031,9.979999999999999e-95
222.273.peg.1150,b0683,2.09e-51
222.273.peg.1151,b2616,4.7399999999999995e-138
222.273.peg.1152,b2615,2.0200000000000002e-72
222.273.peg.1154,b0475,1.08e-93
222.273.peg.1156,b2614,2.1600000000000002e-26
222.273.peg.1158,b0014,0.0
222.273.peg.1159,b0015,1.19e-159
222.273.peg.1161,b1494,5.4e-15
222.273.peg.1164,b1448,2.57e-38
222.273.peg.1170,b1136,0.0
222.273.peg.1178,b0694,6.44e-101
222.273.peg.1180,b0695,4.8700000000000003e-169
222.273.peg.1181,b0696,2.08e-57
222.273.peg.1182,b0697,0.0
222.273.peg.1184,b0698,1.8400000000000002e-169
222.273.peg.1186,b4067,7.58e-22
222.273.peg.1187,b0543,2.77e-36
222.273.peg.1188,b2331,1.49e-20
222.273.peg.1189,b0888,5.54e-165
222.273.peg.1190,b0890,0.0
222.273.peg.1194,b1853,6.01e-29
222.273.peg.12,b0655,5.1100000000000004e-70
222.273.peg.1202,b0219,1.8e-13
222.273.peg.1203,b0892,6.720000000000001e-157
222.273.peg.1204,b0893,5.78e-178
222.273.peg.1214,b0047,8.91e-88
222.273.peg.1215,b2842,3.55e-46
222.273.peg.1216,b0006,3.48e-96
222.273.peg.1217,b0960,1.24e-20
222.273.peg.122,b0591,4.78e-11
222.273.peg.1220,b0078,1.09e-65
222.273.peg.1221,b3774,7.469999999999999e-48
222.273.peg.1224,b3165,2.96e-36
222.273.peg.1225,b3164,0.0
222.273.peg.1227,b3117,6.6e-66
222.273.peg.1246,b3919,4.16e-67
222.273.peg.125,b2844,1.36e-111
222.273.peg.126,b4016,3.19e-141
222.273.peg.1281,b1958,8.25e-120
222.273.peg.1284,b4291,0.0
222.273.peg.1299,b0314,0.0
222.273.peg.13,b0654,7.41e-81
222.273.peg.130,b1582,2.53e-41
