,query,evalue
MT1_0029,b3871,0.0
MT1_0030,b0423,3.12e-175
MT1_0031,b3870,0.0
MT1_0034,b3869,1.69e-102
MT1_0035,b3868,0.0
MT1_0037,b3606,5.74e-70
MT1_0038,b3932,1.8999999999999997e-89
MT1_0039,b3931,0.0
MT1_0041,b3833,1.2799999999999999e-128
MT1_0043,b3835,0.0
MT1_0044,b2026,2.11e-21
MT1_0046,b3836,9.56e-21
MT1_0047,b3838,6.03e-16
MT1_0048,b3839,3.91e-108
MT1_0052,b3887,4.6799999999999995e-55
MT1_0055,b4149,8.310000000000001e-26
MT1_0058,b4232,1.11e-86
MT1_0059,b3428,0.0
MT1_0061,b3888,2.62e-11
MT1_0063,b0339,2.03e-69
MT1_0064,b1524,2.15e-135
MT1_0081,b2081,0.0
MT1_0083,b3813,0.0
MT1_0086,b3591,9.880000000000001e-145
MT1_0087,b3590,2.49e-143
MT1_0089,b1661,2.48e-60
MT1_0102,b0767,1.39e-28
MT1_0111,b1076,1.5e-73
MT1_0146,b3830,6.85e-20
MT1_0147,b2246,1.33e-67
MT1_0154,b0608,3.12e-119
MT1_0156,b3961,1.4299999999999999e-74
MT1_0157,b3652,0.0
MT1_0161,b3332,2.94e-11
MT1_0165,b3328,4.11e-42
MT1_0166,b3327,1.36e-97
MT1_0167,b3326,0.0
MT1_0168,b1603,6.410000000000001e-103
MT1_0170,b1602,2.9599999999999997e-165
MT1_0176,b3863,0.0
MT1_0179,b2795,0.0
MT1_0182,b1857,3.75e-52
MT1_0183,b4046,3.95e-25
MT1_0184,b1858,5.89e-98
MT1_0185,b1859,2.31e-89
MT1_0186,b3085,1.4399999999999999e-67
MT1_0187,b1732,0.0
MT1_0188,b0199,1.2600000000000001e-99
MT1_0189,b0198,2.4199999999999997e-52
MT1_0190,b0197,2.92e-66
MT1_0192,b0428,9.4e-49
MT1_0197,b0430,2.55e-16
MT1_0199,b0431,1.4e-121
MT1_0204,b4551,7.87e-11
MT1_0205,b3498,0.0
MT1_0206,b2410,5.4e-126
MT1_0207,b1790,1.33e-40
MT1_0208,b3279,1.73e-82
MT1_0217,b3160,4.93e-117
MT1_0223,b2036,3.0300000000000003e-88
MT1_0225,b0759,3.38e-138
MT1_0230,b1261,3.4699999999999997e-150
MT1_0231,b1260,4.0399999999999996e-46
MT1_0235,b2989,8.450000000000001e-144
MT1_0240,b0480,7.48e-24
MT1_0242,b1614,2.39e-22
MT1_0248,b0751,3.84e-16
MT1_0266,b2134,8.58e-137
MT1_0269,b3281,2.03e-92
MT1_0270,b2436,5.760000000000001e-163
MT1_0271,b4051,2.6299999999999998e-138
MT1_0272,b3282,1.9e-47
MT1_0273,b4473,1.73e-80
MT1_0275,b3287,2.69e-65
MT1_0276,b3288,7.94e-133
MT1_0277,b3289,6.120000000000001e-129
MT1_0278,b3290,0.0
MT1_0279,b3471,8.849999999999999e-89
MT1_0282,b1918,2.64e-47
MT1_0283,b0810,2.45e-34
MT1_0288,b3549,1.6199999999999998e-67
MT1_0289,b3560,1.0299999999999999e-171
MT1_0290,b3559,0.0
MT1_0291,b0200,6.7e-25
MT1_0293,b0606,0.0
MT1_0294,b3699,0.0
MT1_0295,b3700,4.26e-93
MT1_0296,b3701,1.2700000000000001e-144
MT1_0297,b3702,0.0
MT1_0298,b3704,2.68e-32
MT1_0299,b3705,1.66e-160
MT1_0300,b3706,0.0
MT1_0301,b3741,0.0
MT1_0302,b3740,2.06e-72
MT1_0306,b3738,1.2700000000000002e-97
MT1_0307,b3737,3.31e-16
MT1_0308,b3736,3.35e-54
MT1_0309,b3735,3.02e-41
MT1_0310,b3734,0.0
MT1_0311,b3733,3.68e-153
MT1_0312,b3732,0.0
MT1_0313,b3731,3.45e-49
MT1_0314,b3730,2.18e-172
MT1_0315,b2707,3.4500000000000003e-66
MT1_0316,b3729,0.0
MT1_0333,b0752,9.99e-47
MT1_0344,b1931,5.32e-70
MT1_0352,b3196,5.879999999999999e-48
MT1_0365,b0575,0.0
MT1_0366,b0573,7.84e-13
MT1_0381,b0123,4.54e-24
MT1_0391,b2173,1.78e-50
MT1_0394,b4293,6.850000000000001e-47
MT1_0396,b0150,2.21e-146
MT1_0403,b4094,2.18e-47
MT1_0406,b0613,5.39e-38
MT1_0422,b2808,8.66e-74
MT1_0435,b2661,0.0
MT1_0439,b4350,1.8e-57
MT1_0440,b4348,2.1e-12
MT1_0442,b4349,4.1600000000000003e-116
MT1_0446,b3637,2.04e-43
MT1_0447,b3636,5.810000000000001e-26
MT1_0449,b1300,0.0
MT1_0450,b1022,2.89e-30
MT1_0468,b1297,1.29e-133
MT1_0469,b1298,2.13e-61
MT1_0472,b0854,2.08e-164
MT1_0474,b0855,6.91e-157
MT1_0475,b0856,6.26e-122
MT1_0476,b0857,5.61e-108
MT1_0486,b2040,8.140000000000001e-75
MT1_0487,b2038,3.87e-73
MT1_0488,b3789,2.45e-148
MT1_0489,b3788,0.0
MT1_0491,b3485,9.429999999999999e-159
MT1_0492,b3486,0.0
MT1_0493,b3487,2.1e-127
MT1_0505,b3095,8.86e-16
MT1_0506,b2045,1.58e-11
MT1_0509,b1816,3.05e-77
MT1_0525,b1482,5.72e-62
MT1_0528,b0925,6.99e-55
MT1_0531,b3054,4.49e-30
MT1_0533,b2987,1.11e-12
MT1_0534,b3957,5.400000000000001e-125
MT1_0535,b2818,1.04e-163
MT1_0537,b2688,1.22e-131
MT1_0538,b1396,4.62e-15
MT1_0539,b3407,0.0
MT1_0540,b3405,6.350000000000001e-125
MT1_0541,b3404,1.06e-69
MT1_0542,b0852,4.29e-144
MT1_0544,b3400,1.3100000000000001e-43
MT1_0546,b3401,9.34e-73
MT1_0547,b3403,5.89e-133
MT1_0568,b2285,1.98e-20
MT1_0569,b2284,1.14e-105
MT1_0570,b4079,8.41e-172
MT1_0572,b3895,4.63e-46
MT1_0574,b3399,6.85e-56
MT1_0575,b3397,4.7799999999999995e-61
MT1_0576,b4214,1.2900000000000001e-59
MT1_0578,b1767,2.9499999999999995e-54
MT1_0583,b4139,2.08e-175
MT1_0584,b4327,4.13e-57
MT1_0585,b1478,5.11e-82
MT1_0586,b0523,1.27e-59
MT1_0587,b0522,3.83e-64
MT1_0592,b1780,1.31e-39
MT1_0593,b2307,2.19e-49
MT1_0594,b0862,2.45e-57
MT1_0595,b0860,2.6099999999999998e-55
MT1_0596,b2306,1.28e-103
MT1_0604,b2099,9.12e-14
MT1_0612,b2442,3.2099999999999997e-91
MT1_0613,b2962,9.190000000000001e-27
MT1_0614,b2961,2.5e-127
MT1_0615,b2064,5.94e-11
MT1_0618,b2022,1.59e-53
MT1_0619,b2023,2.57e-36
MT1_0621,b2024,5.28e-34
MT1_0622,b2025,3.29e-73
MT1_0625,b3614,5.18e-49
MT1_0627,b3613,6.25e-57
MT1_0628,b3612,0.0
MT1_0629,b3611,1.59e-25
MT1_0630,b3610,1.55e-31
MT1_0631,b3609,3.01e-58
MT1_0635,b2912,4.64e-39
MT1_0636,b2910,9.97e-12
MT1_0638,b2909,1.47e-17
MT1_0639,b2908,2.38e-143
MT1_0640,b2907,4.5e-93
MT1_0641,b2906,4.16e-99
MT1_0644,b2905,1.05e-152
MT1_0645,b2904,1.8e-54
MT1_0646,b2903,0.0
MT1_0647,b3865,1.49e-65
MT1_0649,b3860,2.07e-24
MT1_0652,b0867,4.1e-60
MT1_0671,b4020,0.0
MT1_0673,b2822,0.0
MT1_0674,b2820,7.8e-179
MT1_0676,b2819,3.81e-141
