complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,NCTC10038_00013(2) AND NCTC10038_00014(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,NCTC10038_04024(2) AND NCTC10038_04025(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,NCTC10038_00664(2) AND NCTC10038_04071(2) AND NCTC10038_01466(2) AND NCTC10038_00663(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),NCTC10038_05785() AND NCTC10038_05002() AND NCTC10038_01067() AND NCTC10038_05001(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,NCTC10038_05181(2) AND NCTC10038_05182(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,NCTC10038_04635() AND NCTC10038_02055(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),NCTC10038_04635() AND NCTC10038_04638(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,NCTC10038_00827(4) AND NCTC10038_00826(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,NCTC10038_06028() AND NCTC10038_06029(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),NCTC10038_05450() AND NCTC10038_00634(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),NCTC10038_01014() AND NCTC10038_01013() AND NCTC10038_01012() AND NCTC10038_01011() AND NCTC10038_01010(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),NCTC10038_01017() AND NCTC10038_01013() AND NCTC10038_01012() AND NCTC10038_01011() AND NCTC10038_01010(),,
CPLX_ANS-0,Anthranilate synthase,NCTC10038_05524() AND NCTC10038_05522(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,NCTC10038_04564() AND NCTC10038_05875(),,
