bnum	position	modification
OU9_00679	1518	m62A
OU9_00679	1519	m62A
OU9_04346	1518	m62A
OU9_04346	1519	m62A
OU9_04781	1518	m62A
OU9_04781	1519	m62A
OU9_05487	1518	m62A
OU9_05487	1519	m62A
OU9_00679	967	m5C
OU9_04346	967	m5C
OU9_04781	967	m5C
OU9_05487	967	m5C
OU9_00679	966	m2G
OU9_04346	966	m2G
OU9_04781	966	m2G
OU9_05487	966	m2G
OU9_00679	1498	m3U
OU9_04346	1498	m3U
OU9_04781	1498	m3U
OU9_05487	1498	m3U
OU9_00679	527	m7G
OU9_04346	527	m7G
OU9_04781	527	m7G
OU9_05487	527	m7G
OU9_00679	1402	m4Cm
OU9_04346	1402	m4Cm
OU9_04781	1402	m4Cm
OU9_05487	1402	m4Cm
OU9_00679	516	Y
OU9_04346	516	Y
OU9_04781	516	Y
OU9_05487	516	Y
OU9_00682	2503	m2A
OU9_04343	2503	m2A
OU9_04778	2503	m2A
OU9_05484	2503	m2A
OU9_00682	2251	Gm
OU9_04343	2251	Gm
OU9_04778	2251	Gm
OU9_05484	2251	Gm
OU9_00682	1939	m5U
OU9_04343	1939	m5U
OU9_04778	1939	m5U
OU9_05484	1939	m5U
OU9_00682	2498	Cm
OU9_04343	2498	Cm
OU9_04778	2498	Cm
OU9_05484	2498	Cm
OU9_00682	745	m1G
OU9_04343	745	m1G
OU9_04778	745	m1G
OU9_05484	745	m1G
OU9_00682	1835	m2G
OU9_04343	1835	m2G
OU9_04778	1835	m2G
OU9_05484	1835	m2G
OU9_00682	1962	m5C
OU9_04343	1962	m5C
OU9_04778	1962	m5C
OU9_05484	1962	m5C
OU9_00682	1618	m6A
OU9_04343	1618	m6A
OU9_04778	1618	m6A
OU9_05484	1618	m6A
OU9_00682	2069	m7G
OU9_04343	2069	m7G
OU9_04778	2069	m7G
OU9_05484	2069	m7G
OU9_00682	2552	Um
OU9_04343	2552	Um
OU9_04778	2552	Um
OU9_05484	2552	Um
OU9_00682	1911	Y
OU9_00682	1915	Y
OU9_00682	1917	Y
OU9_04343	1911	Y
OU9_04343	1915	Y
OU9_04343	1917	Y
OU9_04778	1911	Y
OU9_04778	1915	Y
OU9_04778	1917	Y
OU9_05484	1911	Y
OU9_05484	1915	Y
OU9_05484	1917	Y
