,query,evalue
OU9_00001,b3702,0.0
OU9_00002,b3701,1.3500000000000002e-144
OU9_00003,b3700,4.92e-94
OU9_00004,b3699,0.0
OU9_00006,b0200,3.6800000000000003e-29
OU9_00008,b3559,0.0
OU9_00009,b3560,6.69e-177
OU9_00010,b3549,8.73e-66
OU9_00013,b3471,2.05e-83
OU9_00016,b3290,0.0
OU9_00017,b3289,1.73e-136
OU9_00018,b3288,1.34e-133
OU9_00019,b3287,4.48e-64
OU9_00021,b4473,6.89e-76
OU9_00022,b3282,8.05e-51
OU9_00023,b4051,8.03e-137
OU9_00024,b2436,1.8500000000000002e-157
OU9_00025,b3281,2.68e-91
OU9_00031,b3678,8.99e-34
OU9_00036,b1260,8.99e-43
OU9_00037,b1261,1.8e-154
OU9_00058,b4331,3.8500000000000003e-75
OU9_00063,b1482,1.14e-60
OU9_00070,b3279,6.560000000000001e-79
OU9_00071,b3498,0.0
OU9_00072,b4551,1.01e-11
OU9_00119,b2267,1.26e-56
OU9_00127,b3243,8.119999999999999e-52
OU9_00132,b4108,7.619999999999999e-54
OU9_00133,b2663,0.0
OU9_00143,b0605,3.37e-85
OU9_00144,b0606,0.0
OU9_00147,b2162,2.31e-73
OU9_00151,b1623,6.250000000000001e-43
OU9_00155,b1422,5.4000000000000005e-58
OU9_00158,b1827,1.27e-35
OU9_00169,b1013,1.2699999999999999e-52
OU9_00170,b3848,1.4599999999999998e-23
OU9_00175,b1883,3.83e-145
OU9_00177,b1884,4.9399999999999994e-89
OU9_00178,b4355,5.49e-100
OU9_00179,b1887,7.250000000000001e-70
OU9_00180,b1888,8.06e-154
OU9_00184,b4249,2.37e-74
OU9_00185,b3801,4.22e-24
OU9_00197,b1603,2.02e-92
OU9_00199,b1602,6.45e-162
OU9_00212,b0613,3.59e-27
OU9_00227,b2800,5.9e-15
OU9_00231,b1397,0.0
OU9_00232,b2587,0.0
OU9_00238,b0353,1.1399999999999999e-54
OU9_00239,b4018,7.23e-27
OU9_00240,b4280,2.19e-18
OU9_00244,b3093,7.79e-44
OU9_00266,b3442,9.52e-14
OU9_00268,b2661,0.0
OU9_00270,b2662,0.0
OU9_00281,b0909,2.72e-102
OU9_00284,b2422,1.39e-121
OU9_00285,b2423,4.17e-97
OU9_00286,b2424,4.5e-80
OU9_00287,b3917,5.91e-147
OU9_00300,b1297,1.17e-134
OU9_00302,b1298,9.5e-63
OU9_00307,b0855,6.35e-158
OU9_00308,b0856,1.79e-130
OU9_00309,b0857,3.32e-107
OU9_00320,b1918,1.97e-62
OU9_00321,b1920,1.4999999999999998e-60
OU9_00323,b2913,0.0
OU9_00326,b1180,1.64e-74
OU9_00328,b3024,3.26e-20
OU9_00335,b4333,4.24e-49
OU9_00336,b2753,5.38e-60
OU9_00337,b2914,8.560000000000001e-97
OU9_00344,b2830,1.69e-78
OU9_00345,b2829,0.0
OU9_00349,b2828,3.9400000000000003e-100
OU9_00350,b2827,1.66e-146
OU9_00355,b2239,9.039999999999999e-52
OU9_00358,b0048,2.8e-44
OU9_00360,b3654,3.27e-169
OU9_00361,b3771,0.0
OU9_00362,b0967,2.2799999999999997e-67
OU9_00363,b3153,3.0500000000000003e-32
OU9_00365,b3635,5.2899999999999997e-104
