Transcription-Units	Genes of transcription unit	Direction
TU8J2-872	BSU13650	+
TU8J2-487	BSU31520 // BSU31530	+
TU8J2-19	BSU28190 // BSU28200	-
TU8J2-1223	BSU10270	+
TU8J2-1037	BSU06930 // BSU06920 // BSU06910 // BSU06900 // BSU06890	+
TU8J2-82	BSU23310	-
TU8J2-525	BSU30360	+
TU8J2-1559	BSU35040	-
TU8J2-1268	BSU13130 // BSU13120	+
TU8J2-472	BSU32010	-
TU8J2-858	BSU14040	-
TU8J2-1209	BSU00160	-
TU8J2-175	BSU02410	-
TU8J2-805	BSU17610 // BSU17600	+
TU8J2-1022	BSU07490 // BSU07500 // BSU07510 // BSU07520	-
TU8J2-1544	BSU33190	+
TU8J2-510	BSU30890 // BSU30900 // BSU30910	-
TU8J2-458	BSU33040	-
TU8J2-1253	BSU13190	-
TU8J2-1195	BSU00490	+
TU8J2-843	BSU14930 // BSU14920 // BSU14910 // BSU14900 // BSU14890 // BSU14880	+
TU8J2-791	BSU18010	+
TU8J2-160	BSU10770	+
TU8J2-153	BSU17260	-
TU8J2-1008	BSU07910	-
TU8J2-443	BSU34120 // BSU34130 // BSU34140 // BSU34150 // BSU34160	-
TU8J2-497	BSU31330 // BSU31340 // BSU31350	-
TU8J2-1180	BSU01550	-
TU8J2-1239	BSU07700	+
TU8J2-776	BSU18720	-
TU8J2-829	BSU15960	-
TU8J2-1515	BSU30020	+
TU8J2-1569	BSU36980	+
TU8J2-429	BSU35360	-
TU8J2-482	BSU31690	-
TU8J2-761	BSU19750 // BSU19760 // BSU19770	-
TU8J2-1219	BSU15910 // BSU15900 // BSU15890 // BSU15880	+
TU8J2-1500	BSU27090	+
TU8J2-815	BSU16980	+
TU8J2-996	BSU08120 // BSU08130 // BSU08140 // BSU08150 // BSU08160 // BSU08170	-
TU8J2-1554	BSU34190	+
TU8J2-414	BSU35840	+
TU8J2-468	BSU32460 // BSU32450 // BSU32440 // BSU32430 // BSU32420	+
TU8J2-747	BSU21860	-
TU8J2-1204	BSU00260 // BSU00250	+
TU8J2-1487	BSU25550	+
TU8J2-800	BSU17880 // BSU17870 // BSU17860	+
TU8J2-330	BSU37970	-
TU8J2-154	BSU35290 // BSU35300	-
TU8J2-40	BSU28500	-
TU8J2-453	BSU33260 // BSU33270 // BSU33280	-
TU8J2-732	BSU22200	-
TU8J2-1190	BSU00640	+
TU8J2-1472	BSU23040	+
TU8J2-786	BSU18350 // BSU18360	-
TU8J2-315	BSU38370	+
TU8J2-1525	BSU31510	-
TU8J2-386	BSU36540	-
TU8J2-439	BSU34470 // BSU34460 // BSU34450	+
TU8J2-718	BSU23090 // BSU23100	-
TU8J2-771	BSU19030	+
TU8J2-1458	BSU20000	+
TU8J2-1510	BSU29850	+
