Genome Name,Accession,BRC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.53,,,,"Cytosine deaminase (EC 3.5.4.1)",PATRIC,"Arginine and proline metabolism","Cytosine deaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.118,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Alanine, aspartate and glutamate metabolism","Aspartate transaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.123,,,,"Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)",PATRIC,"Valine, leucine and isoleucine degradation","Methylcrotonoyl-CoA carboxylase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.125,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16)",PATRIC,"Valine, leucine and isoleucine degradation","Acetyl-CoA C-acyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.126,,,,"Isocitrate dehydrogenase phosphatase (EC 2.7.11.5)/kinase (EC 3.1.3.-)",PATRIC,"Fructose and mannose metabolism","Phosphoric monoester hydrolases"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.150,,,,"2-isopropylmalate synthase (EC 2.3.3.13)",PATRIC,"Valine, leucine and isoleucine biosynthesis","2-isopropylmalate synthase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.158,,,,"Bacterioferritin (EC 1.16.3.1)",PATRIC,"Porphyrin and chlorophyll metabolism","Ferroxidase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.213,,,,"Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)",PATRIC,"Histidine metabolism","Phosphoribosyl-ATP diphosphatase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.214,,,,"Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)",PATRIC,"Histidine metabolism","Phosphoribosyl-AMP cyclohydrolase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.219,,,,"Histidinol-phosphate aminotransferase (EC 2.6.1.9)",PATRIC,"Phenylalanine metabolism","Histidinol-phosphate transaminase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.222,,,,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",PATRIC,"Peptidoglycan biosynthesis","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.246,,,,"Glutamate synthase [NADPH] large chain (EC 1.4.1.13)",PATRIC,"Alanine, aspartate and glutamate metabolism","Glutamate synthase (NADPH)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.252,,,,"3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)",PATRIC,"Purine metabolism","3',5'-cyclic-nucleotide phosphodiesterase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.272,,,,"UDP-glucose 6-dehydrogenase (EC 1.1.1.22)",PATRIC,"Ascorbate and aldarate metabolism","UDP-glucose 6-dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.280,,,,"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)",PATRIC,"Selenoamino acid metabolism","5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.320,,,,"Histidine ammonia-lyase (EC 4.3.1.3)",PATRIC,"Histidine metabolism","Histidine ammonia-lyase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.360,,,,"FMN reductase (NADPH) (EC 1.5.1.38)",PATRIC,"Riboflavin metabolism","FMN reductase (NADPH)"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.377,,,,"Formate dehydrogenase O beta subunit (EC 1.2.1.2)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Formate dehydrogenase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.380,,,,"L-seryl-tRNA(Sec) selenium transferase (EC 2.9.1.1)",PATRIC,"Aminoacyl-tRNA biosynthesis","L-seryl-tRNA(Sec) selenium transferase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.394,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Valine, leucine and isoleucine degradation","Aldehyde dehydrogenase (NAD(+))"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.395,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Tetrachloroethene degradation","Aldehyde dehydrogenase (NAD(+))"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.405,,,,"Ribulose-phosphate 3-epimerase (EC 5.1.3.1)",PATRIC,"Pentose and glucuronate interconversions","Ribulose-phosphate 3-epimerase"
Achromobacter BCH1-Minion-Isolate3,222.273.con.0001,fig|222.273.peg.426,,,,"ATP synthase F0 sector subunit a (EC 3.6.3.14)",PATRIC,"Photosynthesis","H(+)-transporting two-sector ATPase"
