modification	positions	type	enzymes	source
D	16,17,20,20A,21	tRNA	PproGo58_06610-MONOMER	Homology
D	16,17,20,20A,21,16_in_met_tRNA,17_in_met_tRNA,20_in_met_tRNA,20A_in_met_tRNA	met_tRNA	PproGo58_19460-MONOMER	Homology
Y	38,39,40	tRNA	PproGo58_19820-MONOMER	Homology
t6A	37	tRNA	PproGo58_00250-MONOMER	Homology
m6t6A	37	tRNA	PproGo58_00250-MONOMER	Homology
m7G	46	tRNA	PproGo58_55300-MONOMER	Homology
m5U	54	tRNA	PproGo58_50790-MONOMER	Homology
Um	32	tRNA	PproGo58_47080-MONOMER	Homology
s4U	8	tRNA	PproGo58_03830-MONOMER	Homology
i6A	37	tRNA	PproGo58_05630-MONOMER_mod_mg2(2)	Homology
s2C	32	tRNA	PproGo58_43150-MONOMER_mod_4fe4s(1)	Homology
Cm	32	tRNA	PproGo58_47080-MONOMER	Homology
I	34	tRNA	PproGo58_46690-MONOMER_mod_zn2(2)	Homology
m1G	37	tRNA	PproGo58_10680-MONOMER	Homology
m62A	1518,1519	16S	PproGo58_53320-MONOMER	Homology
m5C	967	16S	PproGo58_00210-MONOMER	Homology
m2G	966	16S	PproGo58_55410-MONOMER	Homology
m3U	1498	16S	PproGo58_54860-MONOMER	Homology
m7G	527	16S	PproGo58_59310-MONOMER	Homology
m4Cm	1402	16S	generic_16Sm4Cm1402	Homology
Y	516	16S	PproGo58_14100-MONOMER	Homology
m2A	2503	23S	PproGo58_46970-MONOMER_mod_4fe4s(1)	Homology
Gm	2251	23S	PproGo58_05740-MONOMER	Homology
m5U	1939	23S	PproGo58_42990-MONOMER_mod_4fe4s(1)	Homology
Cm	2498	23S	PproGo58_18990-MONOMER	Homology
m1G	745	23S	PproGo58_11350-MONOMER_mod_zn2(2)	Homology
m2G	1835	23S	PproGo58_50680-MONOMER	Homology
m5C	1962	23S	PproGo58_55530-MONOMER	Homology
m6A	1618	23S	PproGo58_10350-MONOMER	Homology
m7G	2069	23S	PproGo58_18450-MONOMER	Homology
Um	2552	23S	PproGo58_08110-MONOMER	Homology
Y	1911,1915,1917	23S	PproGo58_50150-MONOMER_mod_mg2(1)	Homology
m3Y	1915	23S	PproGo58_51590-MONOMER	Homology
